Latitude,Longitude
38.017383,23.672536
38.017383,23.678536
38.017383,23.684536
38.017383,23.690536
38.017383,23.696536000000002
38.017383,23.702536000000002
38.017383,23.708536000000002
38.017383,23.714536000000003
38.017383,23.720536
38.017383,23.726536
38.017383,23.732536
38.017383,23.738536
38.017383,23.744536
38.017383,23.750536
38.017383,23.756536
38.017383,23.762536
38.017383,23.768536
38.017383,23.774536
38.017383,23.780536
38.017383,23.786536
38.012883,23.672536
38.012883,23.678536
38.012883,23.684536
38.012883,23.690536
38.012883,23.696536000000002
38.012883,23.702536000000002
38.012883,23.708536000000002
38.012883,23.714536000000003
38.012883,23.720536
38.012883,23.726536
38.012883,23.732536
38.012883,23.738536
38.012883,23.744536
38.012883,23.750536
38.012883,23.756536
38.012883,23.762536
38.012883,23.768536
38.012883,23.774536
38.012883,23.780536
38.012883,23.786536
38.008383,23.672536
38.008383,23.678536
38.008383,23.684536
38.008383,23.690536
38.008383,23.696536000000002
38.008383,23.702536000000002
38.008383,23.708536000000002
38.008383,23.714536000000003
38.008383,23.720536
38.008383,23.726536
38.008383,23.732536
38.008383,23.738536
38.008383,23.744536
38.008383,23.750536
38.008383,23.756536
38.008383,23.762536
38.008383,23.768536
38.008383,23.774536
38.008383,23.780536
38.008383,23.786536
38.003883,23.672536
38.003883,23.678536
38.003883,23.684536
38.003883,23.690536
38.003883,23.696536000000002
38.003883,23.702536000000002
38.003883,23.708536000000002
38.003883,23.714536000000003
38.003883,23.720536
38.003883,23.726536
38.003883,23.732536
38.003883,23.738536
38.003883,23.744536
38.003883,23.750536
38.003883,23.756536
38.003883,23.762536
38.003883,23.768536
38.003883,23.774536
38.003883,23.780536
38.003883,23.786536
37.999383,23.672536
37.999383,23.678536
37.999383,23.684536
37.999383,23.690536
37.999383,23.696536000000002
37.999383,23.702536000000002
37.999383,23.708536000000002
37.999383,23.714536000000003
37.999383,23.720536
37.999383,23.726536
37.999383,23.732536
37.999383,23.738536
37.999383,23.744536
37.999383,23.750536
37.999383,23.756536
37.999383,23.762536
37.999383,23.768536
37.999383,23.774536
37.999383,23.780536
37.999383,23.786536
37.994883,23.672536
37.994883,23.678536
37.994883,23.684536
37.994883,23.690536
37.994883,23.696536000000002
37.994883,23.702536000000002
37.994883,23.708536000000002
37.994883,23.714536000000003
37.994883,23.720536
37.994883,23.726536
37.994883,23.732536
37.994883,23.738536
37.994883,23.744536
37.994883,23.750536
37.994883,23.756536
37.994883,23.762536
37.994883,23.768536
37.994883,23.774536
37.994883,23.780536
37.994883,23.786536
37.990383,23.672536
37.990383,23.678536
37.990383,23.684536
37.990383,23.690536
37.990383,23.696536000000002
37.990383,23.702536000000002
37.990383,23.708536000000002
37.990383,23.714536000000003
37.990383,23.720536
37.990383,23.726536
37.990383,23.732536
37.990383,23.738536
37.990383,23.744536
37.990383,23.750536
37.990383,23.756536
37.990383,23.762536
37.990383,23.768536
37.990383,23.774536
37.990383,23.780536
37.990383,23.786536
37.985883,23.672536
37.985883,23.678536
37.985883,23.684536
37.985883,23.690536
37.985883,23.696536000000002
37.985883,23.702536000000002
37.985883,23.708536000000002
37.985883,23.714536000000003
37.985883,23.720536
37.985883,23.726536
37.985883,23.732536
37.985883,23.738536
37.985883,23.744536
37.985883,23.750536
37.985883,23.756536
37.985883,23.762536
37.985883,23.768536
37.985883,23.774536
37.985883,23.780536
37.985883,23.786536
37.981383,23.672536
37.981383,23.678536
37.981383,23.684536
37.981383,23.690536
37.981383,23.696536000000002
37.981383,23.702536000000002
37.981383,23.708536000000002
37.981383,23.714536000000003
37.981383,23.720536
37.981383,23.726536
37.981383,23.732536
37.981383,23.738536
37.981383,23.744536
37.981383,23.750536
37.981383,23.756536
37.981383,23.762536
37.981383,23.768536
37.981383,23.774536
37.981383,23.780536
37.981383,23.786536
37.976883,23.672536
37.976883,23.678536
37.976883,23.684536
37.976883,23.690536
37.976883,23.696536000000002
37.976883,23.702536000000002
37.976883,23.708536000000002
37.976883,23.714536000000003
37.976883,23.720536
37.976883,23.726536
37.976883,23.732536
37.976883,23.738536
37.976883,23.744536
37.976883,23.750536
37.976883,23.756536
37.976883,23.762536
